ID,Value,Source
nort2697-TS002,0,Shiraliev (1971:226, 229)
nort2697-TS003,1,Shiraliev (1971:226)
nort2697-TS004,0,Shiraliev (1971:226)
nort2697-TS005,1,Shiraliev (1971:49-51); Shiraliev (1997:163-164)
nort2697-TS006,1,Shiraliev (1971:49-51); Shiraliev (1997:163-164)
nort2697-TS007,1,Shiraliev (1971:226)
nort2697-TS008,0,Shiraliev (1971:226)
nort2697-TS009,1,Shiraliev (1971:88-93)
nort2697-TS010,0,Shiraliev (1971:88-93)
nort2697-TS079,0,Shiraliev (1971:1-407)
nort2697-TS080,1,Shiraliev (1971:1-407)
nort2697-TS086,1,Shiraliev (1997:169)
nort2697-TS087,0,Shiraliev (1997:169)
nort2697-TS088,0,Shiraliev (1971:20-23)
bash1264-GB020,0,Poppe (1964:1-100)
bash1264-GB021,0,Poppe (1964:1-100)
bash1264-GB022,0,Poppe (1964:1-100)
bash1264-GB023,0,Poppe (1964:1-100)
bash1264-GB026,?,Gisbert Fanselow (p.c. 2017)
bash1264-GB027,1,Yuldashev (1981:352)
bash1264-GB028,0,Yuldashev (1981:134)
bash1264-GB030,0,Yuldashev (1981:134)
bash1264-GB031,0,Yuldashev (1997: 211); Yuldashev (1981:134)
bash1264-GB035,0,Poppe (1964:43)
bash1264-GB036,0,Poppe (1964:43)
bash1264-GB037,0,Poppe (1964:43)
bash1264-GB038,0,Poppe (1964:1-100)
bash1264-GB039,0,Poppe (1964:33); Yuldashev (1997: 211); Yuldashev (1981:117-120)
bash1264-GB041,0,Yuldashev (1997: 211); Yuldashev (1981:117-120)
bash1264-GB042,0,Yuldashev (1997: 211); Yuldashev (1981:117-120)
bash1264-GB043,0,Yuldashev (1997: 211); Yuldashev (1981:117-120)
bash1264-GB044,1,Yuldashev (1997: 211); Yuldashev (1981:117-120)
bash1264-GB046,1,Yuldashev (1981:119)
bash1264-GB047,1,Poppe (1964:52)
bash1264-GB048,1,Garipov (1959:67)
bash1264-GB049,1,Poppe (1964:63)
bash1264-GB051,0,Poppe (1964:1-100)
bash1264-GB052,0,Poppe (1964:1-100)
bash1264-GB053,0,Poppe (1964:1-100)
bash1264-GB054,0,Poppe (1964:1-100)
bash1264-GB057,0,Poppe (1964:1-100)
bash1264-GB058,0,Poppe (1964:1-100)
bash1264-GB059,0,Dmitriev (1948:54-58)
bash1264-GB068,0,Yuldashev (1981:169); Poppe (1964:87-88)
bash1264-GB069,0,Yuldashev (1981:169)
bash1264-GB070,1,Yuldashev (1997: 211); Yuldashev (1981:133-139)
bash1264-GB071,1,Yuldashev (1997: 211); Yuldashev (1981:154)
bash1264-GB072,1,Yuldashev (1997: 211); Yuldashev (1981:141-153)
bash1264-GB073,1,Yuldashev (1997: 211); Yuldashev (1981:134)
bash1264-GB074,0,Poppe (1964:1-100)
bash1264-GB075,1,Yuldashev (1981:147)
bash1264-GB079,0,Poppe (1964:1-100)
bash1264-GB080,1,Yuldashev (1997: 212)
bash1264-GB081,0,Poppe (1964:1-100)
bash1264-GB082,1,Poppe (1964:48)
bash1264-GB083,1,Yuldashev (1981:273)
bash1264-GB084,1,Yuldashev (1997: 212)
bash1264-GB086,0,Yuldashev (1981:274-275)
bash1264-GB089,1,Yuldashev (1981:393); Poppe (1964:91)
bash1264-GB090,0,Poppe (1964:91)
bash1264-GB091,1,Yuldashev (1981:393); Poppe (1964:91)
bash1264-GB092,0,Poppe (1964:91)
bash1264-GB093,0,Poppe (1964:91)
