Tree,Model,Feature,LogLikelihood,AICc,q01,q10
445,ER,GB044,-37.093557406224,76.2549114226174,0.412481903207784,0.412481903207784
445,ARD,GB044,-33.4552861215572,71.1174687948385,7.43701189159069,2.60634051293649
445,ER,GB046,-13.9596767186753,29.9871500475201,0.116949750666893,0.116949750666893
445,ARD,GB046,-12.8957432243683,29.9983830004607,1.10030754332306,0.235633853827425
445,ER,GB047,-8.97624247816036,20.0202815664902,0.0621862935063576,0.0621862935063576
445,ARD,GB047,-8.63694748625762,21.4807915242394,7.58256042791191e-10,0.0621314561940783
445,ER,GB048,-20.3055831841472,42.6789629784639,0.159688406143975,0.159688406143975
445,ARD,GB048,-20.1247873589239,44.4564712695719,7.58256042791191e-10,0.140989033733944
445,ER,GB049,-14.8437100810783,31.7552167723262,0.110633006823834,0.110633006823834
445,ARD,GB049,-14.4807121536782,33.1683208590805,7.58256042791191e-10,0.107400046979692
445,ER,GB057,-32.0002857890329,66.0683681882353,0.308296172244716,0.308296172244716
445,ARD,GB057,-31.5781576998728,67.3632119514698,0.317165274920101,0.557629878766906
445,ER,GB059,-16.9986561826334,36.0651089754363,0.0705926332725725,0.0705926332725725
445,ARD,GB059,-13.5557207218599,31.318337995444,0.0528760047270955,0.749444988484651
445,ER,GB068,-26.8076755819686,55.6831477741067,0.189451900006722,0.189451900006722
445,ARD,GB068,-26.733448345659,57.6737932430422,0.19929259168371,0.300024666824378
445,ER,GB069,-19.6667692614681,41.4013351331057,0.110009315125627,0.110009315125627
445,ARD,GB069,-19.2556166224912,42.7181297967066,0.0840899384764506,0.309858589628298
445,ER,GB070,-7.0119189260902,16.0916344623499,0.0299757394063924,0.0299757394063924
445,ARD,GB070,-6.67812059578602,17.5631377432962,7.58256042791191e-10,0.0273468286128129
445,ER,GB071,-8.19099967966318,18.4497959694959,0.03096746014846,0.03096746014846
445,ARD,GB071,-7.89728942259919,20.0014753969225,7.58256042791191e-10,0.0276072072017438
445,ER,GB072,-7.01191903769163,16.0916346855527,0.0299648248460956,0.0299648248460956
445,ARD,GB072,-6.67812051273515,17.5631375771944,7.58256042791191e-10,0.0273370498199408
445,ER,GB073,-3.26465947716848,8.59711556450645,0.0120852234989033,0.0120852234989033
445,ARD,GB073,-2.37685862335725,8.96061379843864,7.58256042791191e-10,9.57762951059107e-05
445,ER,GB074,-5.3951422927598,12.8580811956891,7.58256042791191e-10,7.58256042791191e-10
445,ARD,GB074,-5.3951422927598,14.9971811372437,7.58256042791191e-10,7.58256042791191e-10
445,ER,GB075,-3.25274791709891,8.57329244436732,0.0122913404903182,0.0122913404903182
445,ARD,GB075,-2.37676443902217,8.96042542976848,7.58256042791191e-10,9.69269829318621e-05
445,ER,GB079,-3.2735855279209,8.6149676660113,7.58256042791191e-10,7.58256042791191e-10
445,ARD,GB079,-3.2735855279209,10.7540676075659,7.58256042791191e-10,7.58256042791191e-10
445,ER,GB080,-3.28054088982479,8.62887838981908,0.0118220283159244,0.0118220283159244
445,ARD,GB080,-2.37698493276149,8.96086641724712,7.58256042791191e-10,9.40151657211975e-05
